District	Region
Ricardo ISD	14
Rice Cons ISD	13
Rice ISD	8
Richards ISD	8
Richardson ISD	20
Richland Springs ISD	32
Riesel ISD	8
Rio Grande City ISD	15
Rio Hondo ISD	28
Rio Vista ISD	30
Rising Star ISD	7
River Road ISD	1
Rivercrest ISD	4
Riviera ISD	14
Robert Lee ISD	6
Robinson ISD	8
Robstown ISD	14
Roby Cons ISD	6
Rochelle ISD	32
Rockdale ISD	26
Rocksprings ISD	11
Rockwall ISD	3
Rogers ISD	8
Roma ISD	15
Roosevelt ISD	16
Ropes ISD	16
Roscoe ISD	6
Rosebud-Lott ISD	8
Rotan ISD	6
Round Rock ISD	26
Round Top-Carmine ISD	18
Roxton ISD	4
Royal ISD	27
Royse City ISD	3
Rule ISD	7
Runge ISD	12
Rusk ISD	21
S and S Cons ISD	25
Sabinal ISD	11
Sabine ISD	4
Sabine Pass ISD	10
Saint Jo ISD	2
Salado ISD	8
Saltillo ISD	4
Sam Rayburn ISD	25
San Angelo ISD	6
San Antonio ISD	29
San Augustine ISD	21
San Benito Cons ISD	28
San Diego ISD	14
San Elizario ISD	22
San Felipe-Del Rio Cons ISD	11
San Isidro ISD	15
San Marcos Cons ISD	12
San Perlita ISD	28
San Saba ISD	32
San Vicente ISD	6
Sands Consolidated ISD	6
Sanford-Fritch ISD	1
Sanger ISD	2
Santa Anna ISD	7
Santa Fe ISD	17
Santa Gertrudis ISD	14
Santa Maria ISD	28
Santa Rosa ISD	28
Santo ISD	7
Savoy ISD	25
Schertz-Cibolo-Universal City ISD	11
Schleicher ISD	6
Schulenburg ISD	18
Scurry-Rosser ISD	3
Seagraves ISD	16
Sealy ISD	27
Seguin ISD	12
Seminole ISD	16
Seymour ISD	7
Shallowater ISD	16
Shamrock ISD	1
Sharyland ISD	15
Shelbyville ISD	21
Sheldon ISD	33
Shepherd ISD	9
Sherman ISD	25
Shiner ISD	18
Sidney ISD	7
Sierra Blanca ISD	22
Silsbee ISD	10
Silverton ISD	16
Simms ISD	4
Sinton ISD	14
Sivells Bend ISD	2
Skidmore-Tynan ISD	14
Slaton ISD	16
Slidell ISD	2
Slocum ISD	21
Smithville ISD	18
Smyer ISD	16
Snook ISD	26
Snyder ISD	6
Socorro ISD	22
Somerset ISD	11
Somerville ISD	26
Sonora ISD	6
South San Antonio ISD	11
SOUTH TEXAS ISD	15
Southland ISD	16
Southside ISD	11
Southwest ISD	11
Spearman ISD	1
Splendora ISD	9
Spring Branch ISD	27
Spring Creek ISD	1
Spring Hill ISD	4
Spring ISD	33
Springlake-Earth ISD	16
Springtown ISD	30
Spur ISD	16
Spurger ISD	10
Stafford MSD	13
Stamford ISD	7
Stanton ISD	6
Star ISD	7
Stephenville ISD	7
Sterling City ISD	6
Stockdale ISD	12
Stratford ISD	1
Strawn ISD	7
Sudan ISD	16
Sulphur Bluff ISD	4
Sulphur Springs ISD	4
Sundown ISD	16
Sunnyvale ISD	3
Sunray ISD	1
Sweeny ISD	13
Sweet Home ISD	18
Sweetwater ISD	6
Taft ISD	14
Tahoka ISD	16
Tarkington ISD	9
Tatum ISD	21
Taylor ISD	26
Teague ISD	8
Temple ISD	8
Tenaha ISD	21
Terlingua CSD	6
Terrell County ISD	6
Terrell ISD	3
Texarkana ISD	4
Texas City ISD	17
Texas City ISD (4A)	13
Texhoma ISD	1
Texline ISD	1
Thorndale ISD	26
Thrall ISD	26
Three Rivers ISD	14
Three Way ISD	7
Throckmorton ISD	7
Tidehaven ISD	13
Timpson ISD	21
Tioga ISD	25
Tolar ISD	30
Tom Bean ISD	25
